Airport Name,Weather Condition,Wind Condition,Visibility Condition,Delay Status
['ATL - Hartsfield-Jackson Atlanta International Airport Current Conditions'],Clear29°F(-2°C,)Wind8,NWVisibility10,['VERY LOW']
['PEK - Beijing Capital International Airport Current Conditions'],28°F(-2°C),Wind6 ,Visibility6 ,['MODERATE']
['DXB - Dubai Airport Current Conditions'],Few clouds86°F(30°C,)Wind11,WNWVisibility6,['VERY LOW and decreasing']
['LAX - Los Angeles International Airport Current Conditions'],Few clouds53°F(12°C,)Wind--,Visibility10 ,['VERY LOW']
"['HND - Tokyo, Haneda Airport Current Conditions']",Few clouds57°F(14°C,)Wind8,NNEVisibility6,['VERY LOW and decreasing']
['LHR - London Heathrow Airport Current Conditions'],No cloud detected41°F(5°C,)Wind2,Visibility6 ,['LOW and decreasing']
"[""ORD - Chicago, O'Hare International Airport Current Conditions""]",Clear26°F(-3°C,)Wind9,SWVisibility10,['VERY LOW']
['HKG - Hong Kong International Airport Current Conditions'],Few clouds75°F(24°C,)Wind6,EVisibility6,['VERY LOW and decreasing']
"['CDG - Paris, Charles de Gaulle Airport Current Conditions']",Few clouds45°F(7°C,)Wind5,SVisibility6,['MODERATE and decreasing']
['DFW - Dallas/Fort Worth International Airport Current Conditions'],Broken clouds41°F(5°C,)Wind6,SVisibility10,['VERY LOW and increasing']
['FRA - Frankfurt Airport Current Conditions'],Broken clouds36°F(2°C,)Wind12,SVisibility6,['EXCESSIVE and decreasing']
['DEN - Denver International Airport Current Conditions'],Broken clouds33°F(1°C,)Wind13,WSWVisibility10,['VERY LOW']
"['BKK - Bangkok, Suvarnabhumi Airport Current Conditions']",Few clouds84°F(29°C,)Wind8,NVisibility6,['LOW']
"['SIN - Singapore, Changi International Airport Current Conditions']",Scattered clouds84°F(29°C,)Wind8,NEVisibility6,['VERY LOW and decreasing']
['AMS - Amsterdam Airport Schiphol Current Conditions'],Few clouds36°F(2°C,)Wind6,WSWVisibility6,['MODERATE and decreasing']
"['ICN - Seoul, Incheon International Airport Current Conditions']",Few clouds30°F(-1°C,)Wind19,NWVisibility6,['LOW and decreasing']
['SFO - San Francisco International Airport Current Conditions'],Few clouds54°F(12°C,)Wind3,NEVisibility3,['VERY LOW']
"['DEL - Delhi, Indira Gandhi International Airport Current Conditions']",Few clouds72°F(22°C,)Wind4,EVisibility1,['VERY LOW and decreasing']
"['JFK - New York, John F. Kennedy International Airport Current Conditions']",Few clouds27°F(-3°C,)Wind11,WVisibility10,['VERY LOW and decreasing']
['SYD - Sydney (Kingsford Smith) Airport Current Conditions'],Few clouds66°F(19°C,)Wind8,SSWVisibility6,['VERY LOW and decreasing']
"['MUC - Munich, Franz Josef Strauss Airport Current Conditions']",36°F(2°C),Wind13 ,Visibility6 ,['LOW and decreasing']
"['LAS - Las Vegas, Harry Reid International Airport Current Conditions']",Broken clouds44°F(7°C,)Wind--,Visibility10 ,['VERY LOW']
['SEA - Seattle-Tacoma International Airport Current Conditions'],Clear31°F(-1°C,)Wind--,Visibility6 ,['VERY LOW and decreasing']
"['YYZ - Toronto, Pearson International Airport Current Conditions']",Few clouds25°F(-4°C,)Wind7,SSWVisibility15,['VERY LOW and decreasing']
['ZRH - Zurich Airport Current Conditions'],Few clouds37°F(3°C,)Wind7,WSWVisibility6,['LOW and decreasing']
"['DOH - Doha, Hamad International Airport Current Conditions']",81°F(27°C),Wind20 ,Visibility6 ,['VERY LOW']
['IST - Istanbul Airport Current Conditions'],Few clouds54°F(12°C,)Wind13,SVisibility6,['MODERATE and decreasing']
"['MNL - Manila, Ninoy Aquino International Airport Current Conditions']",Few clouds84°F(29°C,)Wind4,ESEVisibility6,['VERY LOW and decreasing']
"['FCO - Rome, Leonardo da Vinci-Fiumicino Airport Current Conditions']",59°F(15°C),Wind5 ,Visibility6 ,['LOW and decreasing']
['DWC - Dubai World Central - Al Maktoum International Airport Current Conditions'],Few clouds84°F(29°C,)Wind12,WNWVisibility6,['LOW and increasing']
['YVR - Vancouver International Airport Current Conditions'],Overcast30°F(-1°C,)Wind5,EVisibility10,['VERY LOW']
['SAN - San Diego International Airport Current Conditions'],Broken clouds48°F(9°C,)Wind--,Visibility10 ,['NOT AVAILABLE']
['BCN - Barcelona-El Prat Airport Current Conditions'],Broken clouds59°F(15°C,)Wind7,ENEVisibility6,['VERY LOW']
['DAL - Dallas Love Field Current Conditions'],Broken clouds40°F(4°C,)Wind3,ESEVisibility10,['VERY LOW']
['MSP - Minneapolis-St. Paul International Airport Current Conditions'],Clear26°F(-3°C,)Wind6,WSWVisibility10,['VERY LOW']
['PVG - Shanghai Pudong International Airport Current Conditions'],Broken clouds59°F(15°C,)Wind10,NVisibility6,['MODERATE and decreasing']
['DTW - Detroit Metropolitan Wayne County Airport Current Conditions'],Broken clouds21°F(-6°C,)Wind13,SSWVisibility10,['VERY LOW and decreasing']
['MIA - Miami International Airport Current Conditions'],Few clouds59°F(15°C,)Wind6,NWVisibility10,['VERY LOW and decreasing']
['AUH - Abu Dhabi International Airport Current Conditions'],Few clouds84°F(29°C,)Wind14,NWVisibility6,['VERY LOW and decreasing']
['CLT - Charlotte Douglas International Airport Current Conditions'],Clear24°F(-4°C,)Wind--,Visibility10 ,['VERY LOW']
['MAN - Manchester Airport Current Conditions'],No cloud detected32°F(0°C,)Wind1,Visibility6 ,['LOW and decreasing']
['PHX - Phoenix Sky Harbor International Airport Current Conditions'],Scattered clouds56°F(13°C,)Wind5,EVisibility10,['VERY LOW']
['BRU - Brussels Airport Current Conditions'],Few clouds41°F(5°C,)Wind6,WVisibility6,['LOW and decreasing']
['MCO - Orlando International Airport Current Conditions'],Few clouds48°F(9°C,)Wind9,NVisibility10,['VERY LOW']
['EWR - Newark Liberty International Airport Current Conditions'],Few clouds27°F(-3°C,)Wind12,WVisibility10,['VERY LOW']
"['CGK - Jakarta, Soekarno-Hatta International Airport Current Conditions']",Few clouds86°F(30°C,)Wind4,Visibility6 ,['VERY LOW and decreasing']
"['BOM - Mumbai, Chhatrapati Shivaji Maharaj International Airport Current Conditions']",No significant clouds84°F(29°C,)Wind7,WNWVisibility2,['VERY LOW and decreasing']
"['BOS - Boston, Logan International Airport Current Conditions']",Few clouds29°F(-2°C,)Wind13,WVisibility10,['VERY LOW and decreasing']
['GRU - Sao Paulo-Guarulhos International Airport Current Conditions'],Few clouds72°F(22°C,)Wind9,NVisibility6,['VERY LOW and decreasing']
['LGW - London Gatwick Airport Current Conditions'],Few clouds43°F(6°C,)Wind1,Visibility6 ,['VERY LOW and increasing']
['FLL - Fort Lauderdale-Hollywood International Airport Current Conditions'],Broken clouds58°F(14°C,)Wind8,NNWVisibility10,['VERY LOW']
['AYT - Antalya Airport Current Conditions'],Scattered clouds55°F(13°C,)Wind10,ENEVisibility2,['VERY LOW and decreasing']
"['SAW - Istanbul, Sabiha Gokcen International Airport Current Conditions']",Few clouds55°F(13°C,)Wind8,ENEVisibility2,['VERY LOW and decreasing']
['CUN - Cancun International Airport Current Conditions'],Few clouds75°F(24°C,)Wind6,ENEVisibility7,['VERY LOW']
['CPT - Cape Town International Airport Current Conditions'],75°F(24°C),Wind20 ,Visibility6 ,['VERY LOW']
"['JED - Jeddah, King Abdulaziz International Airport Current Conditions']",90°F(32°C),Wind6 ,Visibility6 ,['VERY LOW and decreasing']
"['RUH - Riyadh, King Khalid International Airport Current Conditions']",73°F(23°C),Wind5 ,Visibility6 ,['VERY LOW']
['DUB - Dublin Airport Current Conditions'],Few clouds34°F(1°C,)Wind3,Visibility6 ,['VERY LOW and decreasing']
['YYC - Calgary International Airport Current Conditions'],Few clouds28°F(-2°C,)Wind3,Visibility15 ,['VERY LOW']
['AKL - Auckland Airport Current Conditions'],Few clouds59°F(15°C,)Wind8,WSWVisibility6,['VERY LOW']
['LIS - Lisbon Portela Airport Current Conditions'],Scattered clouds64°F(18°C,)Wind9,WSWVisibility6,['VERY LOW and decreasing']
['HEL - Helsinki-Vantaa Airport Current Conditions'],Few clouds28°F(-2°C,)Wind4,ENEVisibility6,['LOW and decreasing']
['MXP - Milano Malpensa Airport Current Conditions'],52°F(11°C),Wind4 ,Visibility6 ,['VERY LOW and decreasing']
"['JNB - Johannesburg, O.R. Tambo International Airport Current Conditions']",77°F(25°C),Wind14 ,Visibility6 ,['VERY LOW']
['MAD - Adolfo Suarez Madrid-Barajas Airport Current Conditions'],Few clouds57°F(14°C,)Wind12,SWVisibility6,['VERY LOW and decreasing']
"['MEX - Mexico City, Benito Juarez International Airport Current Conditions']",Scattered clouds55°F(13°C,)Wind4,NWVisibility12,['VERY LOW']
"['NRT - Tokyo, Narita International Airport Current Conditions']",Few clouds48°F(9°C,)Wind4,WSWVisibility6,['VERY LOW and decreasing']
